"ID","単語","品詞","意味","例文","訳文","発音記号","類義語","反意語","SVL"
"2594","memoir","名詞","回顧録、回想録","Churchill's beautifully written memoirs provide an entertaining read.","チャーチルが書いた見事な回顧録は興味深い読み物である。","/mémwɑ:r/","","","9"
"2595","historic","形容詞","歴史上重要な、歴史的に有名な; 歴史に残る","Rome's historic victory over Carthage changed the course of history.","ローマのカルタゴに対する歴史的勝利は歴史の流れを変えた。","/histɔ́:rik, histɔ́rik/","","","5"
"2596","famine","名詞","飢饉(ききん)、凶作","The Great Chinese Famine (1959-1961) resulted in 15 million to 55 million deaths.","中国の3年大飢饉(1959～1961年)により1500万～5500万人が死亡した。","/fǽmin/","","","5"
"2597","ancient","形容詞","古代の、大昔の、太古の","The ancient Egyptians built the pyramids as tombs for their pharaohs.","古代エジプト人はファラオの墓としてピラミッドを建設した。","/éinʃənt/","","modern","4"
"2598","colony","名詞","植民地; 居留地; (生物の)コロニー","Australia started as a penal colony for British convicts.","オーストラリアはイギリスの囚人のための流刑植民地として始まった。","/kɔ́ləni/","settlement","","6"
"2599","border","名詞/動詞","国境、境界線; 縁 / ～に接する","The border between the two countries is heavily guarded.","両国間の国境は厳重に警備されている。","/bɔ́:rdə/","boundary, frontier","","3"
"2600","monarchy","名詞","君主制、君主国; 君主一家","The French monarchy was overthrown during the revolution.","フランスの君主制は革命の間に倒された。","/mɔ́nərki/","","republic","7"
"2601","epoch","名詞","(注目すべき・特徴づけられた)時代、時期","Japan's Edo era is an epoch known for its isolationist foreign policies.","日本の江戸時代は孤立主義的な外交政策で知られる時代である。","/í:pɔk/","era, age","","7"
"2602","massacre","名詞/動詞","大虐殺、大殺りく、皆殺し / ～を虐殺する","Numerous civilians were massacred by the drone strikes.","数多くの市民が無人偵察機による攻撃で殺りくされた。","/mǽsəkə/","slaughter","","9"
"2603","previous","形容詞","前の、以前の、先の","The previous prime minister was the one who started this important diplomatic initiative.","この重要な外交イニシアチブを始動させたのは、前首相であった。","/prí:viəs/","prior, preceding, former","","3"
"2604","royal","形容詞","国王の、王室の","Her Majesty the Queen is at the helm of the royal family.","女王陛下は王室の実権を握っている。","/rɔ́iəl/","regal, kingly","","2"
"2605","historically","副詞","歴史的に","It was a historically significant event that led to many changes.","それは歴史的に重大な出来事で多くの変化をもたらした。","/histɔ́:rikli/","","","5"
"2606","explorer","名詞","探検家、探査者","Christopher Columbus was an explorer who completed four voyages across the Atlantic Ocean.","クリストファー・コロンブスは大西洋を渡る航海を4回成し遂げた探検家であった。","/iksplɔ́:rə/","","","3"
"2607","castle","名詞","城、城郭","There are many castles in the UK, but some are just ruins.","イギリスには多くの城があるが、中には廃虚となっているものもある。","/kǽsl/","fortress, palace","","4"
"2608","kingdom","名詞","王国; (学問・動植物などの)界","The United Kingdom is made up of four different countries.","連合王国は4つの異なる国から構成されている。","/kíŋdəm/","realm, empire, monarchy","","4"
"2609","republic","名詞","共和国; (the Republic)共和政体","The United States is a republic because it has an elected president.","合衆国は選出された大統領がいるので共和国である。","/ripʌ́blik/","democracy","monarchy","3"
"2610","independence","名詞","独立、自立; 主体性","The United States gained its independence from the British Empire on July 4, 1776.","合衆国は1776年7月4日に大英帝国から独立した。","/ìndipéndəns/","freedom, liberty","dependence","4"
"2611","noble","形容詞/名詞","高潔な、気高い; 貴族の / 貴族","It was noble of him to risk his life to save the drowning child.","溺れている子どもを救うために命を懸けた彼は立派だった。","/nóubl/","great, honourable; aristocrat","ignoble","5"
"2612","conquest","名詞","征服; 獲得; 克服","The Norman Conquest of England occurred in the 11th century.","ノルマン人によるイングランド征服は11世紀に起こった。","/kɔ́ŋkwest/","subjugation, victory","","11"
"2613","reign","動詞/名詞","統治する、君臨する / 統治、治世","Queen Victoria reigned for over 63 years.","ビクトリア女王は63年以上にわたり在位した。","/réin/","rule, govern","","7"
"2614","heir","名詞","相続人; 後継者","Prince Charles is the heir to the British throne.","チャールズ皇太子は英国王位継承者である。","/ɛ́ə/","inheritor, successor","","9"
"2615","legacy","名詞","遺産; 受け継いだもの","His legacy will live on through his music.","彼の遺産は彼の音楽を通して生き続けるだろう。","/légəsi/","heritage, bequest","","6"
"2616","aristocracy","名詞","貴族、貴族階級; 上流階級","The aristocracy held most of the power in the 18th century.","18世紀には貴族が権力の大半を握っていた。","/æ̀ristɔ́krəsi/","nobility, elite","","7"
"2617","peasant","名詞","小作農、農民; 田舎者","Peasants worked the land for the wealthy landowners.","小作農たちは裕福な地主のために土地を耕した。","/péznt/","farmer, rustic","","7"
"2618","emperor","名詞","皇帝、天皇","The Emperor of Japan is the symbol of the state.","日本の天皇は国家の象徴である。","/émpərə/","ruler, monarch","","6"
"2619","savage","形容詞/名詞","どう猛な、凶暴な; 未開の / 野蛮人","The savage beast attacked the villagers.","そのどう猛な野獣は村人たちを襲った。","/sǽvidʒ/","wild, ferocious, brutal","civilised","6"
"2620","native","形容詞/名詞","出生地の; 土着の / その土地の人","He is a native New Yorker.","彼はニューヨーク生まれだ。","/néitiv/","indigenous, local","","2"
"2621","strange","形容詞","奇妙な、変な; 未知の","It was strange that he didn't say goodbye.","彼がさよならを言わなかったのは奇妙だった。","/stréindʒ/","odd, weird, peculiar","normal, familiar","2"
"2622","tribe","名詞","部族、種族","The tribe has lived in the rainforest for centuries.","その部族は何世紀にもわたって熱帯雨林に住んでいる。","/tráib/","clan, group","","6"
"2623","custom","名詞","習慣、風習; (customs)税関","It is a custom to shake hands when you meet someone new.","初対面の人と握手するのは習慣だ。","/kʌ́stəm/","tradition, habit, practice","","3"
"2624","traditional","形容詞","伝統的な、従来の","They wore traditional costumes for the festival.","彼らは祭りのために伝統的な衣装を着た。","/trədíʃənl/","conventional, customary","modern","4"
"2625","culture","名詞","文化; 教養","Japanese culture is very different from Western culture.","日本文化は西洋文化とは大きく異なる。","/kʌ́ltʃə/","society, civilisation","","2"
"2626","ritual","名詞/形容詞","儀式; 習慣的行為 / 儀式の","The tea ceremony is a traditional Japanese ritual.","茶道は日本の伝統的な儀式だ。","/rítʃuəl/","ceremony, rite","","9"
"2627","curiosity","名詞","好奇心; 珍しいもの","Her curiosity led her to explore the old house.","好奇心から彼女はその古い家を探検した。","/kjù:riɔ́səti/","interest, inquisitiveness","","6"
"2628","artefact","名詞","(人工)遺物、工芸品","The museum displays artefacts from ancient Egypt.","その博物館は古代エジプトの遺物を展示している。","/ɑ́:rtifæ̀kt/","relic, item","","9"
"2629","value","名詞/動詞","価値; 価格 / ～を評価する","This necklace has great sentimental value to me.","このネックレスは私にとって大きな思い入れのある価値がある。","/vǽlju:/","worth, cost; appreciate","","2"
"2630","honour","名詞/動詞","名誉、栄誉; 敬意 / ～を尊敬する","It is a great honour to be invited to the ceremony.","式典に招待されるのは大変な名誉だ。","/ɔ́nə/","glory, respect, privilege","dishonour","5"
"2631","moral","形容詞/名詞","道徳上の、倫理的な / 教訓","He has high moral standards.","彼は高い道徳基準を持っている。","/mɔ́:rəl/","ethical, virtuous","immoral","3"
"2632","virtue","名詞","美徳、徳; 長所","Patience is a virtue.","忍耐は美徳である。","/və́:rtʃu:/","goodness, merit","vice","5"
"2633","ethics","名詞","倫理、道徳; 倫理学","Medical ethics govern the behaviour of doctors and nurses.","医療倫理は医師や看護師の行動を統制する。","/éθiks/","morality, principles","","6"
"2634","taboo","名詞/形容詞","タブー、禁忌 / 禁じられた","In some cultures, eating pork is a taboo.","一部の文化では、豚肉を食べることはタブーである。","/təbú:/","prohibition, ban","","9"
"2635","religion","名詞","宗教; 信仰","Freedom of religion is a fundamental human right.","信教の自由は基本的な人権である。","/rilídʒən/","faith, belief","","2"
"2636","belief","名詞","信念、確信; 信仰","His belief in God gave him strength.","神への信仰が彼に強さを与えた。","/bilí:f/","faith, conviction, trust","disbelief","3"
"2637","faith","名詞","信仰、信心; 信頼、信用","She has lost faith in the government.","彼女は政府への信頼を失った。","/féiθ/","belief, trust, confidence","doubt","3"
"2638","holy","形容詞","神聖な、聖なる","The Bible is a holy book for Christians.","聖書はキリスト教徒にとって聖なる書物だ。","/hóuli/","sacred, divine","unholy","3"
"2639","sacred","形容詞","神聖な、聖なる","Cows are considered sacred in Hinduism.","ヒンズー教では牛は神聖なものとされている。","/séikrid/","holy, divine","profane","6"
"2640","god","名詞","神; (God)創造主","They prayed to God for help.","彼らは神に助けを求めて祈った。","/gɔ́d/","deity","","2"
"2641","prayer","名詞","祈り; 祈祷文","She said a prayer before going to bed.","彼女は寝る前に祈りを捧げた。","/prɛ́ə/","invocation","","3"
"2642","worship","動詞/名詞","～を崇拝する、礼拝する / 崇拝","They worship at the local church.","彼らは地元の教会で礼拝する。","/wə́:rʃip/","adore, revere","","7"
"2643","shrine","名詞","神社、聖堂、祭壇","Many people visit the shrine on New Year's Day.","多くの人が元日にその神社を訪れる。","/ʃráin/","sanctuary, temple","","7"
"2644","temple","名詞","寺院、神殿; こめかみ","The ancient temple was built thousands of years ago.","その古代の神殿は何千年も前に建てられた。","/témpl/","shrine, church","","4"
"2645","cathedral","名詞","大聖堂","St Paul's Cathedral is a famous landmark in London.","セントポール大聖堂はロンドンの有名なランドマークだ。","/kəθí:drəl/","church","","6"
"2646","priest","名詞","司祭、神父、僧侶","The priest conducted the wedding ceremony.","司祭が結婚式を執り行った。","/prí:st/","clergyman, minister","","3"
"2647","monk","名詞","修道士、僧","The monks live a simple life in the monastery.","修道士たちは修道院で質素な生活を送っている。","/mʌ́ŋk/","friar","nun","11"
"2648","myth","名詞","神話; 作り話","The story of Hercules is a famous Greek myth.","ヘラクレスの物語は有名なギリシャ神話だ。","/míθ/","legend, fable","fact","6"
"2649","folklore","名詞","民間伝承、民話","Dragons often appear in Chinese folklore.","ドラゴンは中国の民間伝承によく登場する。","/fóuklɔ̀:/","mythology, lore","","12"
"2650","tradition","名詞","伝統、慣習","It is a tradition to eat turkey on Thanksgiving.","感謝祭に七面鳥を食べるのは伝統だ。","/trədíʃən/","custom, convention","","3"
"2651","festival","名詞","祭り、祝祭","The film festival attracts people from all over the world.","その映画祭は世界中から人々を惹きつける。","/féstəvəl/","celebration, carnival","","3"
"2652","heritage","名詞","遺産; 継承物","We must preserve our cultural heritage.","私たちは文化遺産を保存しなければならない。","/héritidʒ/","legacy, inheritance","","6"
"2653","race","名詞/動詞","人種、民族; 競走 / 競走する","People of all races live in this city.","この都市にはあらゆる人種の人々が住んでいる。","/réis/","ethnicity; competition","","3"
"2654","ethnic","形容詞","民族の、民族的な","The city has a diverse range of ethnic groups.","その都市には多様な民族グループがいる。","/éθnik/","cultural, racial","","6"
"2655","indigenous","形容詞","原産の、先住の","The kangaroo is indigenous to Australia.","カンガルーはオーストラリア原産だ。","/indídʒənəs/","native, aboriginal","foreign","11"
"2656","population","名詞","人口; 住民数","The population of the world is increasing.","世界の人口は増加している。","/pɔ̀pjuléiʃən/","inhabitants, residents","","3"
"2657","immigrant","名詞","(外国からの)移民、移住者","The country has a large population of immigrants.","その国には多くの移民がいる。","/ímigrənt/","migrant, settler","","6"
"2658","migrate","動詞","移住する; (渡り鳥などが)渡る","Many birds migrate south for the winter.","多くの鳥は冬に南へ渡る。","/máigreit/","move, relocate","","5"
"2659","frontier","名詞","国境、境界; 未開拓地","Space is often called the final frontier.","宇宙はしばしば最後の未開拓地と呼ばれる。","/frʌ́ntiə/","border, boundary","","4"
"2660","society","名詞","社会; 協会","We live in a multicultural society.","私たちは多文化社会に生きている。","/səsáiəti/","community, public","","2"
"2661","patriarchy","名詞","家父長制","Feminism challenges the structures of patriarchy.","フェミニズムは家父長制の構造に異議を唱える。","/péitriɑ̀:rki/","","matriarchy","10"
"2662","gender","名詞","(社会的・文化的)性、ジェンダー","Gender equality is an important goal.","ジェンダー平等は重要な目標だ。","/dʒéndə/","sex","","9"
"2663","family","名詞","家族、家庭","She comes from a large family.","彼女は大家族の出身だ。","/fǽməli/","household, kin","","2"
"2664","household","名詞/形容詞","世帯、家庭 / 家庭の","The average household size has decreased.","平均世帯人数は減少した。","/háushould/","family, home","","4"
"2665","parenting","名詞","子育て、育児","Parenting can be both rewarding and challenging.","子育てはやりがいがあると同時に大変でもある。","/péərəntiŋ/","child-rearing","","6"
"2666","marriage","名詞","結婚、婚姻","Their marriage lasted for 50 years.","彼らの結婚生活は50年続いた。","/mǽridʒ/","wedding, matrimony","divorce","2"
"2667","divorce","名詞/動詞","離婚 / 離婚する","The divorce rate is high in many countries.","多くの国で離婚率は高い。","/divɔ́:rs/","separation, split","marriage","3"
"2668","spouse","名詞","配偶者(夫または妻)","Employees can bring their spouses to the company party.","従業員は会社のパーティーに配偶者を同伴できる。","/spáus/","partner, husband, wife","","10"
"2669","sibling","名詞","きょうだい(兄、弟、姉、妹)","Do you have any siblings?","きょうだいはいますか？","/síbliŋ/","brother, sister","","5"
"2670","kinship","名詞","親族関係、血縁; 類似","He felt a sense of kinship with the other musicians.","彼は他のミュージシャンたちに親近感を感じた。","/kínʃip/","relationship, affinity","","12"
"2671","genealogy","名詞","系図、家系; 系図学","She is researching her family genealogy.","彼女は自分の家系を調べている。","/dʒì:niǽlədʒi/","ancestry, lineage","","7"
"2672","ancestor","名詞","先祖、祖先","His ancestors came from Ireland.","彼の先祖はアイルランド出身だ。","/ǽnsestə/","forefather","descendant","4"
"2673","descendant","名詞","子孫、末裔(まつえい)","He is a direct descendant of Napoleon.","彼はナポレオンの直系の子孫だ。","/diséndənt/","offspring, successor","ancestor","5"
"2674","person","名詞","人、人間; 人物","He is a very kind person.","彼はとても親切な人だ。","/pə́:rsn/","individual, human","","1"
"2675","people","名詞","人々; 国民、民族","Many people gathered in the square.","広場に多くの人々が集まった。","/pí:pl/","public, folk","","1"
"2676","community","名詞","地域社会、共同体","He is a respected member of the community.","彼は地域社会の尊敬される一員だ。","/kəmjú:nəti/","society, neighbourhood","","2"
"2677","neighbour","名詞","隣人、近所の人","Our neighbours are very friendly.","私たちの隣人はとてもフレンドリーだ。","/néibə/","","","3"
"2678","friend","名詞","友人、友達","A friend in need is a friend indeed.","まさかの時の友こそ真の友。","/frénd/","companion, pal","enemy","2"
"2679","acquaintance","名詞","知人、知り合い; 面識","She is just an acquaintance, not a close friend.","彼女はただの知人で、親しい友人ではない。","/əkwéintəns/","associate","","6"
"2680","man","名詞","男性、男; 人間","He is a man of few words.","彼は無口な男だ。","/mǽn/","male, guy","woman","1"
"2681","woman","名詞","女性、女","She is a strong and independent woman.","彼女は強く自立した女性だ。","/wúmən/","female, lady","man","1"
"2682","child","名詞","子供","The child was playing with a toy.","その子供はおもちゃで遊んでいた。","/tʃáild/","kid, youngster","adult","1"
"2683","adult","名詞/形容詞","大人、成人 / 成人の","Tickets are $10 for adults and $5 for children.","チケットは大人10ドル、子供5ドルだ。","/ədʌ́lt, ǽdʌlt/","grown-up","child","2"
"2684","baby","名詞","赤ちゃん、赤ん坊","The baby is sleeping.","赤ちゃんは眠っている。","/béibi/","infant, newborn","","2"
"2685","senior","形容詞/名詞","年上の、先輩の / 年長者、先輩","He is senior to me by two years.","彼は私より2歳年上だ。","/sí:njə/","older, superior","junior","3"
"2686","junior","形容詞/名詞","年下の、後輩の / 年少者、後輩","She is a junior employee.","彼女は若手社員だ。","/dʒú:njə/","younger, subordinate","senior","3"
"2687","youth","名詞","若さ; 青年時代; 若者","The youth of today face many challenges.","今日の若者は多くの課題に直面している。","/jú:θ/","young people","age","6"
"2688","adolescent","名詞/形容詞","思春期の若者 / 思春期の","Adolescents often experience mood swings.","思春期の若者はしばしば気分のむらを経験する。","/æ̀dəlést/","teenager, teen","","10"
"2689","elderly","形容詞","年配の、高齢の","We should respect the elderly.","私たちは高齢者を敬うべきだ。","/éldəli/","aged, old","young","6"
"2690","old","形容詞","古い; 年取った","This building is very old.","この建物はとても古い。","/óuld/","aged, ancient","new, young","1"
"2691","young","形容詞","若い; 幼い","He looks very young for his age.","彼は年の割にとても若く見える。","/jʌ́ŋ/","youthful","old","1"
"2692","mature","形容詞/動詞","成熟した、大人の / 成熟する","She is very mature for her age.","彼女は年の割にとても大人びている。","/mətjúə/","grown-up","childish, adolescent, immature","4"
"2693","impatient","形容詞","我慢できない、じっとしていられない、短気な","Young Billy is usually more impatient than his sister.","若いビリーは、普段は姉よりも我慢がきかない。","/impéiʃənt/","intolerant","patient","5"
"2694","socialise","動詞","交際する、付き合う、社交的にする","I enjoyed socialising with my parents' friends.","私は両親の友人たちと付き合うのが好きだった。","/sóuʃəlàiz/","mingle","","8"
"2695","nursery","名詞","幼稚園、保育園、育児室、新生児室","The baby was sleeping soundly in the nursery.","赤ちゃんは育児室でぐっすり眠っていた。","/nə́:səri/","kindergarten","","5"
"2696","infant","名詞","幼児(期)、未成年者、赤子","The 3-month-old infant slept soundly in her cot.","その生後3ヵ月の赤ん坊はベビーベッドでぐっすり眠った。","/ínfənt/","baby, child, minor","adult, grown-up","4"
"2697","peculiarity","名詞","特異な点、変わった点; 特色、特徴","She has a peculiarity in her style of walking.","彼女の歩き方にはちょっとした癖がある。","/pikjù:liǽrəti/","oddity, quirk","","6"
"2698","trait","名詞","特徴、特色、特質","Honesty is a trait that many people admire.","正直さは多くの人が称賛する特質だ。","/tréit/","characteristic, feature, quality","","6"
"2699","habit","名詞","習慣、癖","He has a bad habit of biting his nails.","彼は爪を噛む悪い癖がある。","/hǽbit/","custom, practice","","3"
"2700","character","名詞","性格、人格; 特徴","He is a man of good character.","彼は人格者だ。","/kǽriktə/","personality, nature","","2"
"2701","immature","形容詞","未熟な、子どもっぽい","He is so immature and always makes people uncomfortable.","彼はとても子どもっぽいので、いつも人々を不愉快にさせる。","/imətjúə, imətʃɔ́:/","adolescent, juvenile, childish","adult","6"
"2702","kindergarten","名詞","幼稚園","The kindergarten only accepts children from the age of 4.","その幼稚園は4歳以上の子どもしか受け入れない。","/kíndəgɑ̀:rtn/","nursery","","4"
"2703","grateful","形容詞","感謝する、ありがたく思う","Felicity was grateful towards her neighbour for his help.","フェリシティは助けてくれる隣人に対して感謝していた。","/gréitfəl/","pleased, thankful","","2"
"2704","secure","形容詞/動詞","安全な; 確実な / ～を守る、安全にする","Selling the business will make us financially secure in our retirement.","事業を売却することは退職後私たちを経済的に安定させる。","/sikjúə/","safe; assured; assure, protect, ensure","","4"
"2705","adulthood","名詞","成人期、大人であること","Voting is reserved for those who have reached adulthood.","投票は成人した者だけが行えるものである。","/ədʌ́lthùd/","maturity, manhood, womanhood","infancy, adolescence","N/A"
"2706","ashamed","形容詞","恥ずかしく思う、恥じて","Sarah was ashamed of being seen in public with her mother.","サラは人前で母といるところを見られて恥ずかしかった。","/əʃéimd/","embarrassed","","3"
"2707","orphan","名詞/動詞","孤児 / ～を孤児にする","Steve became an orphan at the age of 3, but he was quickly adopted.","スティーブは3歳のときに孤児になったが、すぐに養子にされた。","/ɔ́:rfən/","","","6"
"2708","introvert","名詞/形容詞","内向的な人、内気な人 / 内向的な","Being an introvert, Jasper doesn't like team sports.","内気な人なので、ジャスパーはチームスポーツが好きではない。","/íntrəvə̀:rt/","","extrovert","N/A"
"2709","comfort","動詞/名詞","(人)を慰める、元気づける / 心地よさ、快適さ","He tried to comfort her about her grandmother's death.","彼は祖母の死について彼女を慰めようとした。","/kʌ́mfət/","soothe; consolation, solace","upset; anguish","2"
"2710","kin","名詞","親族、親類","You need to ask one of your kin to sign the form.","親族の1人に用紙に署名してもらう必要がある。","/kín/","relatives, family","","7"
"2711","conversation","名詞","会話、話し合い","The conversation quickly turned to politics and the state of the economy.","会話はすぐに政治と経済状態へと移った。","/kɔ̀nvərséiʃən/","dialogue, talk, discussion","","2"
"2712","stubborn","形容詞","頑固な、強情な、断固たる","Donkeys are famously stubborn creatures that often refuse to move.","ロバは頑固な生き物として有名で、よく動くのを拒む。","/stʌ́bərn/","obstinate","","5"
"2713","energetic","形容詞","活動的な、エネルギッシュな","Kindergarten-aged children are energetic and need a lot of stimulation.","幼稚園児はエネルギッシュでたくさんの刺激が必要だ。","/ènərdʒétik/","active, lively, dynamic","","6"
"2714","spouse","名詞","配偶者","She met her future spouse at work, and they got married a year later.","彼女は職場で将来の配偶者と出会い、1年後に結婚した。","/spáus/","partner, husband, wife","","8"
"2715","mature","動詞/形容詞","熟成させる; 成長する / 熟した、成熟した","He has matured since he started living on his own.","彼は一人暮らしを始めてから成長した。","/mətjúə, mətʃúə/ (動), /mətjúə, mətʃúə/ (形)","adult, ripened","adolescent, immature","4"
"2716","relative","名詞/形容詞","親族、親戚 / 相対的な","My cousins Andrew and Marie are my closest relatives.","いとこのアンドリューとマリーは、私には最も親しい親戚だ。","/rélətiv/","kin, family; comparative","","3"
"2717","supporter","名詞","支持者、後援者、味方、サポーター","He's been a Manchester United supporter ever since he was 7.","彼は7歳のときからマンチェスター・ユナイテッドのサポーターである。","/səpɔ́:rtə/","advocate, proponent","","3"
"2718","introverted","形容詞","内向きな、内省的な、引っ込み思案な","Preferring his own company, he is known to be introverted.","独りでいるのが好きな彼は、内向的なことで知られている。","/ìntrəvə́:rtid/","introvert","extroverted, extrovert","N/A"
"2719","modest","形容詞","謙虚な、質素な、控えめな","Despite having amassed a huge fortune, they lived a modest lifestyle.","莫大な富を蓄えていたにもかかわらず、彼らは質素な生活を送った。","/mɔ́dist/","moderate","immodest","4"
"2720","dread","動詞","～をひどく恐れる、心配する、嫌がる","Mark dreaded Sunday family drives in the countryside.","マークは、日曜日に家族で田舎にドライブに行くことをひどく嫌がった。","/dréd/","fear, be afraid of","","5"
"2721","nurture","動詞","(子ども・動物・植物など)を育てる、養育する","Children need to be nurtured in supportive households.","子どもは、支えてくれる家庭で育てられる必要がある。","/nə́:rtʃə/","cultivate, foster, nourish","","8"
"2722","guardian","名詞","保護者、後見人、監視者","His legal guardian is responsible for his well-being.","彼の法定後見人は彼の安否に責任がある。","/gɑ́:rdiən/","","ward","7"
"2723","fatigue","名詞","疲れ、疲労、倦怠(けんたい)","Side effects include dizziness, blurred vision and fatigue.","副作用には、めまい、目のかすみ、倦怠感が含まれる。","/fətí:g/","exhaustion, tiredness, weariness","","6"
"2724","motherhood","名詞","母であること、母性","Laura already has two children, so she's not new to motherhood.","ローラにはすでに子どもが2人いるので、母であることに対して不慣れではない。","/mʌ́ðərhùd/","maternity, mothering","","9"
"2725","heir","名詞","相続人、継承者、後継者、跡継ぎ","Prince Charles is Queen Elizabeth's heir-in-waiting.","チャールズ皇太子はエリザベス女王の次期王位継承者である。","/ɛ́ə/","inheritor, successor, descendant","","5"
"2726","rumour","名詞/動詞","うわさ、風評 / ～とうわさする","The rumours surrounding her affair led to a troubled marriage.","彼女の浮気をめぐるうわさは心休まらぬ結婚生活につながった。","/rú:mə/","gossip","","2"
"2727","juvenile","名詞/形容詞","年少者、青少年、未成年者 / 青少年の、未成年の","Juveniles need a parent, or a legal guardian, present when interrogated by police.","年少者は、警察から尋問されるときに親または法定後見人の同席を必要とする。","/dʒú:vənàil/ (名), /dʒú:vənl/ (形)","child, youth; youthful, adolescent, immature, childish","","8"
"2728","legal","形容詞","法律(上)の、法的な; 合法の、適法の","Scotland's legal system is quite different to that of England and Wales.","スコットランドの法律制度はイングランドおよびウェールズの法律制度とまるで違っている。","/lí:gəl/","lawful, legitimate","illegal","3"
"2729","migration","名詞","(人の)移住、移動、(鳥などの)渡り","Migration from the Indian subcontinent has declined in recent years.","インド亜大陸からの移住は近年減少している。","/maigréiʃən/","movement, transfer, relocation","","8"
"2730","demographic","形容詞","人口統計の、人口学の","The demographic changes in Britain over the last 40 years have been significant.","過去40年間のイギリスにおける人口統計的な変化は著しい。","/dèməgrǽfik, dì:məgrǽfik/","","","11"
"2731","immigration","名詞","移住、移入; 入国管理","France's immigration policy has been tightened due to popular outcry.","フランスの移民政策は、一般大衆の抗議によって引き締められた。","/ìməgréiʃən/","","","8"
"2732","discrimination","名詞","差別、不公平な扱い; 区別、識別","Discrimination on the basis of gender is not only immoral but also illegal.","性別による差別は不道徳なだけでなく違法でもある。","/diskrìmənéiʃən/","distinction, inequity, injustice","equity, justice, fairness","6"
"2733","sanction","名詞","制裁、処罰; 認可、承認","US sanctions on Iran are having a toll on the economy.","アメリカのイランに対する制裁は経済に打撃を与えている。","/sǽŋkʃən/","authorization, approval","disapproval","9"
"2734","keen","形容詞","熱心な、大好きな; (感覚が)鋭い","Janet is keen on scallops, but she doesn't like oysters.","ジャネットはホタテは大好きだが、カキは好きではない。","/kí:n/","avid, eager; sharp, acute","","3"
"2735","regulation","名詞","規制、規則、法規","EU regulations are strict and often cause friction.","EUの規制は厳格でしばしば摩擦を引き起こす。","/règjuléiʃən/","rule, order","","3"
"2736","donation","名詞","寄付、寄進、寄付金","My grandparents always give money to those collecting donations.","私の祖父母は、寄付金を集めている人にいつも寄付している。","/dounéiʃən/","contribution","","6"
"2737","inhabit","動詞","～に住む、居住する、生息する","Flats in the East End are inhabited by people of all backgrounds.","イーストエンドにあるアパートには、あらゆる経歴の人たちが暮らしている。","/inhǽbit/","reside in, live in","","5"
"2738","civil","形容詞","礼儀にかなった; 市民の、民間の","Police officers ought to behave in a civil way towards everyone.","警察官は誰に対しても礼儀正しく振る舞うべきである。","/sívəl/","polite; national, public","rude; military, foreign","4"
"2739","election","名詞","選挙","Free and fair elections are fundamental to democratic values.","自由で公正な選挙は、民主主義的価値の基礎である。","/ilékʃən/","vote, poll, ballot","","3"
"2740","immigrant","名詞","(外国からの)移民、移住者","Immigrants often find it difficult to adjust to their new country's culture.","移民は、新しく来た国の文化に適応するのが大変だと感じることがある。","/ímigrənt/","alien, foreigner, migrant","","5"
"2741","pension","名詞/動詞","年金、恩給 / ～に年金を与える","Citizens are encouraged to put money into their pension schemes.","国民は年金制度にお金を入れるよう推奨されている。","/pénʃən/","","","6"
"2742","court","名詞","裁判、法廷、裁判官、判事","Judge Cosgrove presided over the court with a calm attitude.","コスグローブ判事は冷静な態度で裁判を取り仕切った。","/kɔ́:rt/","judge","","2"
"2743","insurance","名詞","保険、保険金、保険証","Having bought insurance for her rental car, Rachel's concerns were appeased.","レンタカーの保険に加入してレイチェルの心配は和らいだ。","/inʃúərəns/","allowance, assurance, coverage, guarantee","","3"
"2744","lifestyle","名詞","生き方、ライフスタイル、生活様式","Suzanne doesn't drink nor smoke and tries to have a healthy lifestyle.","アルコールも飲まずたばこも吸わないで、スーザンは健康的な生き方をしようとしている。","/láifstàil/","","","3"
"2745","ethnicity","名詞","民族性、民族意識","Families of mixed ethnicity in this neighbourhood are common.","この付近では混合民族から成る家族はよく見られる。","/eθnísəti/","","","N/A"
"2746","inhabitant","名詞","(特定地域・場所の)住人、住民、居住者","The inhabitants of North Sentinel Island are notoriously hostile to visitors.","北センチネル島の住人は島を訪れる者に敵意を持っていることで有名である。","/inhǽbətənt/","occupant, resident","non-resident, guest, visitor","5"
"2747","occupation","名詞","職業、仕事; 占有、居住","Being a doctor is a highly demanding occupation.","医者は極めてきつい仕事である。","/ɔ̀kjupéiʃən/","employment, profession, work; occupancy, possession","","4"
"2748","embassy","名詞","大使館","The US embassy in Israel was moved from Tel Aviv to Jerusalem.","在イスラエルアメリカ大使館はテルアビブからエルサレムに移転された。","/émbəsi/","","","5"
"2749","anarchy","名詞","無政府状態、無秩序、混乱","The Montreal police strike of 1969 led to 16 hours of anarchy.","1969年のモントリオール警察のストライキによって16時間混乱状態が続いた。","/ǽnərki/","chaos, lawlessness, disorder","","9"
"2750","autonomy","名詞","自治、自治権、自治体、自主性","They fought and died for their autonomy and independence.","彼らは自らの自治と独立のために闘い、死んだ。","/ɔ:tɔ́nəmi/","self-government","","8"
"2751","petition","名詞","嘆願書、陳情書","More than 100,000 people signed the petition to have her removed from office.","10万人以上の人が彼女の解任を求めて陳情書に署名した。","/pətíʃən/","appeal","","7"
