"ID","単語","品詞","意味","例文","訳文","発音記号","類義語","反意語","SVL"
"2132","distinction","名詞","区別","There’s a clear distinction between right and wrong.","正しいことと間違ったことの明確な区別があります。","","","",""
"2133","satisfaction","名詞","満足","Completing the project brought great satisfaction.","プロジェクトを完成させることで大きな満足感を得ました。","","","",""
"2134","incorporate","動詞","組み込む","They decided to incorporate new features in the app.","彼らはアプリに新しい機能を取り入れることを決めました。","","","",""
"2135","pour","動詞","注ぐ","Pour the milk into the glass.","グラスにミルクを注いでください。","","","",""
"2136","sweep","動詞","掃く","She used a broom to sweep the floor.","彼女は床を掃くためにほうきを使いました。","","","",""
"2137","obligation","名詞","義務","It’s your obligation to finish the task on time.","タスクを時間通りに終わらせるのはあなたの義務です。","","","",""
"2138","sir","名詞","お客様","“Excuse me, sir, you dropped this,” she said.","「失礼ですが、これを落としましたよ」と彼女は言いました。","","","",""
"2139","evaluate","動詞","評価する","We need to evaluate the results of the test.","テストの結果を評価する必要があります。","","","",""
"2140","anger","名詞","怒り","His anger was evident in his voice.","彼の怒りは彼の声に明らかでした。","","","",""
"2141","pub","名詞","パブ","We met at the local pub for drinks.","私たちは地元のパブで飲み物を楽しむために会いました。","","","",""
"2142","perception","名詞","感知","Beauty often lies in the perception of the beholder.","美しさはしばしば見る人の知覚にあります。","","","",""
"2143","naturally","副詞","当然","He’s naturally good at math.","彼は生まれつき数学が得意です。","","","",""
"2144","currency","名詞","通貨","The euro is the currency used in many European countries.","ユーロは多くのヨーロッパ諸国で使用されている通貨です。","","","",""
"2145","database","名詞","データベース","We need to update the database regularly.","データベースを定期的に更新する必要があります。","","","",""
"2146","initially","副詞","最初は","Initially, I was hesitant, but later I agreed.","最初は躊躇していましたが、後で同意しました。","","","",""
"2147","territory","名詞","地域","They ventured into unknown territory.","彼らは未知の領域に冒険しました。","","","",""
"2148","stream","名詞","ストリーム","We can stream the movie online.","私たちはその映画をオンラインでストリーミングすることができます。","","","",""
"2149","rarely","副詞","めったに","She rarely eats out due to her dietary restrictions.","彼女は食事制限のために滅多に外食しません。","","","",""
"2150","height","名詞","身長","The tree reached a height of 20 feet.","その木は20フィートの高さに達しました。","","","",""
"2151","apparent","形容詞","見かけ上","It became apparent that he was lost.","彼が迷子になっていることが明らかになりました。","","","",""
"2152","western","形容詞","西","The sun sets in the western sky.","太陽は西の空に沈みます。","","","",""
"2153","expansion","名詞","拡大","The company is planning an expansion into new markets.","その会社は新しい市場への拡大を計画しています。","","","",""
"2154","constantly","副詞","常に","She constantly checks her phone for messages.","彼女は常にメッセージのために携帯電話をチェックします。","","","",""
"2155","muscle","名詞","筋","He strained a muscle lifting weights.","彼は重量を持ち上げることで筋肉を痛めました。","","","",""
"2156","scare","動詞","怖い","The sudden noise gave me quite a scare.","突然の騒音は私をかなり驚かせました。","","","",""
"2157","badly","副詞","ひどく","He was hurt badly in the accident.","彼は事故でひどく傷つきました。","","","",""
"2158","everyday","形容詞","毎日","Everyday tasks can sometimes be the most challenging.","日常のタスクが最も難しいこともあります。","","","",""
"2159","boundary","名詞","境界","We walked the boundary of the property.","私たちはその土地の境界を歩きました。","","","",""
"2160","ratio","名詞","比率","The ratio of water to flour is 2:1 in the recipe.","レシピにおける水と小麦粉の比率は2:1です。","","","",""
"2161","essay","名詞","エッセイ","Students must write an essay on the given topic.","学生は与えられたトピックについてのエッセイを書かなければなりません。","","","",""
"2162","scream","動詞/名詞","悲鳴","I heard a loud scream from the other room.","隣の部屋から大きな悲鳴が聞こえました。","","","",""
"2163","withdraw","動詞","撤回する","She decided to withdraw money from the ATM.","彼女はATMからお金を引き出すことにしました。","","","",""
"2164","pollution","名詞","汚染","The factory was fined for causing air pollution.","工場は大気汚染を引き起こしたために罰金を科されました。","","","",""
"2165","disorder","名詞","障害","Sleep disorder affects many people worldwide.","睡眠障害は世界中の多くの人々に影響を及ぼしています。","","","",""
"2166","furniture","名詞","家具","We bought new furniture for our living room.","私たちはリビングルームのための新しい家具を買いました。","","","",""
"2167","symbol","名詞","シンボル","The dove is a symbol of peace.","ハトは平和の象徴です。","","","",""
"2168","apartment","名詞","アパート","She moved into a new apartment downtown.","彼女はダウンタウンの新しいアパートに引っ越しました。","","","",""
"2169","demonstration","名詞","デモンストレーション","The demonstration took place in the main square.","デモはメイン広場で行われました。","","","",""
"2170","analyst","名詞","アナリスト","The analyst predicted the market trends.","アナリストは市場のトレンドを予測しました。","","","",""
"2171","platform","名詞","プラットホーム","She stood on the platform waiting for the train.","彼女はプラットフォームで電車を待っていました。","","","",""
"2172","steel","名詞","鋼鉄","The bridge is made of reinforced steel.","その橋は強化鋼で作られています。","","","",""
"2173","cake","名詞","ケーキ","She baked a chocolate cake for the party.","彼女はパーティーのためにチョコレートケーキを焼きました。","","","",""
"2174","transform","動詞","変身","The caterpillar will transform into a butterfly.","毛虫は蝶に変わります。","","","",""
"2175","wound","名詞","傷","The soldier received a wound in battle.","兵士は戦闘中に傷を受けました。","","","",""
"2176","restriction","名詞","制限","There’s a restriction on the amount of luggage you can carry.","持ち込める荷物の量に制限があります。","","","",""
"2177","foundation","名詞","財団","The foundation of the house needs repair.","家の基礎は修理が必要です。","","","",""
"2178","designer","名詞","デザイナー","She wore a dress by a famous designer.","彼女は有名なデザイナーのドレスを着ていました。","","","",""
"2179","strain","名詞/動詞","歪み","Don’t strain your eyes by reading in the dark.","暗闇で読むことで目を酷使しないでください。","","","",""
"2180","innovation","名詞","革新","His innovation led to a breakthrough in technology.","彼の革新は技術の大きな進展をもたらしました。","","","",""
"2181","album","名詞","アルバム","She released her new music album last month.","彼女は先月、新しい音楽アルバムをリリースしました。","","","",""
"2182","singer","名詞","歌手","The singer captivated the audience with her voice.","その歌手は彼女の声で聴衆を魅了しました。","","","",""
"2183","trail","名詞","トレイル","We hiked along the mountain trail.","私たちは山のトレイルをハイキングしました。","","","",""
"2184","trap","名詞","トラップ","The mouse was caught in the trap.","マウスは罠にかかりました。","","","",""
"2185","loose","形容詞","ゆるい","Make sure the screws aren’t too loose.","ネジが緩すぎないことを確認してください。","","","",""
"2186","extension","名詞","拡大","They requested an extension for the project deadline.","彼らはプロジェクトの締め切りの延長を要請しました。","","","",""
"2187","wealth","名詞","富","His wealth was acquired through hard work.","彼の富は、一生懸命の努力を通じて獲得されました。","","","",""
"2188","gradually","副詞","徐々に","The pain gradually subsided.","痛みは徐々に和らぎました。","","","",""
"2189","tank","名詞","タンク","We need a bigger water tank for the house.","家のためにもっと大きな水タンクが必要です。","","","",""
"2190","evil","名詞/形容詞","悪","Superheroes fight against evil forces.","スーパーヒーローは悪の勢力と戦います。","","","",""
"2191","remarkable","形容詞","顕著","Her performance was truly remarkable.","彼女のパフォーマンスは本当に素晴らしかったです。","","","",""
"2192","tune","名詞","曲","She hummed a catchy tune.","彼女は耳に残るメロディをハミングしました。","","","",""
"2193","grass","名詞","草","The grass is always greener on the other side.","隣の芝生はいつも青い。","","","",""
"2194","invitation","名詞","招待","I received an invitation to her wedding.","私は彼女の結婚式への招待を受け取りました。","","","",""
"2195","transition","名詞","遷移","The country is in a period of political transition.","その国は政治的な移行期にあります。","","","",""
"2196","frighten","動詞","怖がっている","Don’t frighten the little bird away.","小さな鳥を怖がらせて追い払わないでください。","","","",""
"2197","bid","動詞/名詞","入札","The company made a bid for the new contract.","その会社は新しい契約の入札を行いました。","","","",""
"2198","breed","動詞/名詞","繁殖","Golden Retrievers are a popular dog breed.","ゴールデンレトリバーは人気のある犬種です。","","","",""
"2199","extraordinary","形容詞","並外れた","The magician performed an extraordinary trick.","魔術師は驚異的なトリックを演じました。","","","",""
"2200","brilliant","形容詞","素晴らしい","The gemstone had a brilliant sparkle.","その宝石は鮮やかな輝きを持っていました。","","","",""
"2201","adviser","名詞","顧問","He consulted his financial adviser before investing.","彼は投資する前に財務アドバイザーに相談しました。","","","",""
"2202","stem","名詞/動詞","幹","The rose stem had a few thorns.","バラの茎にはいくつかの棘がありました。","","","",""
"2203","reverse","動詞/名詞","逆行する","Always check your mirrors before you reverse the car.","車をバックする前に必ずミラーを確認してください。","","","",""
"2204","mode","名詞","モード","The camera has different shooting modes.","このカメラには異なる撮影モードがあります。","","","",""
"2205","mirror","名詞","鏡","She looked at her reflection in the mirror.","彼女は鏡で自分の姿を見ました。","","","",""
"2206","awful","形容詞","ひどい","The weather today is just awful.","今日の天気は本当にひどいです。","","","",""
"2207","pose","動詞/名詞","ポーズ","The model will pose for the photoshoot.","モデルはフォトシュートのためにポーズを取ります。","","","",""
"2208","adjust","動詞","調整する","You may need to adjust the chair’s height.","椅子の高さを調整する必要があるかもしれません。","","","",""
"2209","creative","形容詞","クリエイティブ","His creative ideas always stand out.","彼の創造的なアイディアは常に目立ちます。","","","",""
"2210","nowadays","副詞","最近では","Nowadays, people rely heavily on technology.","今日では、人々は技術に大きく依存しています。","","","",""
"2211","poem","名詞","詩","Emily wrote a heartfelt poem for her mother.","エミリーは彼女の母のために心からの詩を書きました。","","","",""
"2212","agricultural","形容詞","農業","The agricultural sector is vital for the country’s economy.","農業部門はその国の経済にとって非常に重要です。","","","",""
"2213","competitor","名詞","競合他社選手","Every business faces challenges from competitors.","すべてのビジネスは競合他社からの挑戦に直面しています。","","","",""
"2214","alcohol","名詞","アルコール","Some people abstain from drinking alcohol.","一部の人々はアルコールの摂取を控えています。","","","",""
"2215","festival","名詞","フェスティバル","The town is known for its annual music festival.","その町は毎年の音楽祭で知られています。","","","",""
"2216","vegetable","名詞","野菜","Spinach is a nutritious vegetable.","ほうれん草は栄養価の高い野菜です。","","","",""
"2217","van","名詞","バン","The delivery van arrived on time.","配送バンは時間通りに到着しました。","","","",""
"2218","confident","形容詞","自信","She was confident about her decision.","彼女は自分の決断に自信を持っていました。","","","",""
"2219","planet","名詞","惑星","Earth is the only known planet with life.","地球は生命が存在することが分かっている唯一の惑星です。","","","",""
"2220","curve","名詞","曲線","The road has a sharp curve ahead.","その道路には先に急なカーブがあります。","","","",""
"2221","knee","名詞","膝","He hurt his knee while playing soccer.","彼はサッカーをしている時に膝を痛めました。","","","",""
"2222","overcome","動詞","克服する","With determination, you can overcome any challenge.","決意を持っていれば、どんな課題も乗り越えることができます。","","","",""
"2223","web","名詞","ウェブ","Spiders weave intricate webs.","クモは複雑な巣を織ります。","","","",""
"2224","depth","名詞","深さ","The depth of the lake is unknown.","その湖の深さは未知です。","","","",""
"2225","entrance","名詞","入り口","The entrance to the museum is on the left.","博物館の入口は左側にあります。","","","",""
"2226","log","名詞","ログ","The campers sat around a burning log.","キャンパーたちは燃えている丸太の周りに座っていました。","","","",""
"2227","giant","名詞","巨人","The giant statue attracted many tourists.","その巨大な像は多くの観光客を引きつけました。","","","",""
"2228","god","名詞","神","Many cultures have their own god or gods.","多くの文化には、独自の神または神々がいます。","","","",""
"2229","portion","名詞","部分","She ate a small portion of the cake.","彼女はケーキの小さな部分を食べました。","","","",""
"2230","substance","名詞","物質","Scientists studied the unknown substance.","科学者たちは未知の物質を研究しました。","","","",""
"2231","extensive","形容詞","広範囲にわたる","He has an extensive book collection.","彼は広範な本のコレクションを持っています。","","","",""
"2232","interpret","動詞","解釈する","The artist left the painting open to interpret.","アーティストは絵を解釈するために開放しました。","","","",""
"2233","independence","名詞","独立","The country celebrates its independence every year.","その国は毎年、独立を祝います。","","","",""
"2234","sugar","名詞","砂糖","Can you add some sugar to my tea?","私のお茶に砂糖を少し足してもらえますか？","","","",""
"2235","inner","形容詞","内側","He listened to his inner voice.","彼は自分の内なる声に耳を傾けました。","","","",""
"2236","harm","名詞","危害","Smoking can cause harm to your lungs.","喫煙は肺に害を及ぼす可能性があります。","","","",""
"2237","consult","動詞","相談してください","You should consult a doctor if the symptoms persist.","症状が続く場合は、医師に相談すべきです。","","","",""
"2238","pink","形容詞/名詞","ピンク","The sky turned a soft pink at dawn.","夜明けに空が柔らかいピンク色に変わりました。","","","",""
"2239","shadow","名詞","影","The tree cast a long shadow in the evening sun.","木は夕日に長い影を落としました。","","","",""
"2240","strip","動詞/名詞","ストリップ","The comic strip made everyone laugh.","そのコミックストリップはみんなを笑わせました。","","","",""
"2241","smooth","形容詞","スムーズ","The fabric was soft and smooth.","その生地は柔らかく滑らかでした。","","","",""
"2242","intervention","名詞","介入","The crisis required international intervention.","その危機は国際的な介入を必要としました。","","","",""
"2243","impress","動詞","印象づける","Her speech did impress the audience.","彼女のスピーチは観客に感銘を与えました。","","","",""
"2244","exam","名詞","テスト","Students prepared diligently for the final exam.","学生たちは最終試験のために熱心に準備しました。","","","",""
"2245","vice","名詞","悪","His only vice was his love for chocolates.","彼の唯一の悪癖はチョコレートへの愛でした。","","","",""
"2246","radical","形容詞/名詞","ラジカル","His ideas were seen as radical by many.","彼の考えは多くの人々にとって過激だと見なされました。","","","",""
"2247","similarly","副詞","同様に","Similarly, the other product also has its merits.","同様に、もう一つの製品もその長所を持っています。","","","",""
"2248","behave","動詞","振る舞う","Children, please behave yourselves at the party.","子供たち、パーティーで行儀よくしてください。","","","",""
"2249","loud","形容詞","うるさい","The music was so loud that I couldn’t hear myself think.","音楽がとても大きくて、自分の考えが聞こえなかった。","","","",""
"2250","dimension","名詞","寸法","The artwork has a three-dimensional aspect.","imensional aspect. – そのアートワークには三次元的な側面があります。","","","",""
"2251","subsequent","形容詞","その後","In subsequent meetings, the issue was resolved.","その後のミーティングで、問題は解決されました。","","","",""
"2252","infection","名詞","感染","She got antibiotics to treat the infection.","彼女は感染症を治療するための抗生物質をもらいました。","","","",""
"2253","jacket","名詞","ジャケット","Wear your jacket; it’s cold outside.","ジャケットを着てください。外は寒いです。","","","",""
"2254","efficiency","名詞","効率","Modern cars are designed for fuel efficiency.","現代の車は燃料効率のために設計されています。","","","",""
"2255","dirty","形容詞","汚い","My shoes got dirty after the hike.","ハイキングの後で私の靴が汚れました。","","","",""
"2256","statistic","名詞","統計","The report highlighted some alarming statistics.","そのレポートはいくつかの警戒すべき統計を強調しました。","","","",""
"2257","regularly","副詞","定期的に","I exercise regularly to stay fit.","健康を保つために、私は定期的に運動しています。","","","",""
"2258","resort","名詞","リゾート","They stayed at a luxury resort on the island.","彼らは島の豪華なリゾートに滞在しました。","","","",""
"2259","iron","名詞","鉄","I need to iron my shirt for the interview.","面接のためにシャツをアイロンがけする必要があります。","","","",""
"2260","broadcast","動詞/名詞","放送","The match will be broadcast live tonight.","その試合は今夜生放送されます。","","","",""
"2261","membership","名詞","メンバーシップ","The gym offers a discounted membership fee.","ジムは割引された会員費を提供しています。","","","",""
"2262","bread","名詞","パン","I love the smell of freshly baked bread.","私は焼きたてのパンの香りが大好きです。","","","",""
"2263","blind","形容詞/名詞","盲目","The blind man had a guide dog.","盲目の男性は盲導犬を持っていました。","","","",""
"2264","pure","形容詞","純粋な","The water from the spring was pure and clear.","泉からの水は純粋でクリアでした。","","","",""
"2265","bloody","形容詞","血まみれ","The film had a few bloody scenes.","その映画にはいくつかの血まみれのシーンがありました。","","","",""
"2266","ally","名詞","味方","The two countries became close allies.","その2つの国は親密な同盟国となりました。","","","",""
"2267","quantity","名詞","量","We need to check the quantity of goods in stock.","在庫の商品の数量を確認する必要があります。","","","",""
"2268","bend","動詞","曲げる","Be careful on the road; there’s a sharp bend ahead.","道路で注意してください。先に急なカーブがあります。","","","",""
"2269","mature","形容詞","成熟","He’s very mature for his age.","彼は彼の年齢の割には非常に成熟しています。","","","",""
"2270","briefly","副詞","簡単に","She briefly explained the project’s objective.","彼女はプロジェクトの目的を簡潔に説明しました。","","","",""
"2271","alarm","名詞","警報","The alarm will ring at 7 a.m. tomorrow.","アラームは明日の午前7時に鳴ります。","","","",""
"2272","disturb","動詞","乱す","Please do not disturb; I’m working.","邪魔しないでください。私は仕事中です。","","","",""
"2273","sustain","動詞","持続する","The city sustained damage from the hurricane.","その都市はハリケーンの被害を受けました。","","","",""
"2274","flood","名詞/動詞","洪水","Heavy rains caused a flood in the village.","大雨が村に洪水を引き起こしました。","","","",""
"2275","poverty","名詞","貧困","Many charities work to alleviate poverty.","多くの慈善団体が貧困を軽減するために活動しています。","","","",""
"2276","crazy","形容詞","クレイジー","That’s a crazy idea, but it just might work!","それは狂ったアイデアだけど、うまくいくかもしれない！","","","",""
"2277","cite","動詞","引用","Always cite your sources in academic papers.","学術論文では常に情報源を引用してください。","","","",""
"2278","newly","副詞","新しく","The newly opened cafe is quite popular.","新しくオープンしたカフェはかなり人気があります。","","","",""
"2279","parallel","形容詞/名詞","平行","The two roads run parallel to each other.","その2つの道路は互いに平行して走っています。","","","",""
"2280","gender","名詞","性別","Gender equality is essential in all fields.","すべての分野での男女平等は不可欠です。","","","",""
"2281","sponsor","名詞/動詞","スポンサー","The event’s main sponsor was a tech company.","イベントの主要スポンサーは技術企業でした。","","","",""
"2282","boot","名詞","ブート","She wore waterproof boots for the rainy day.","彼女は雨の日のために防水のブーツを履きました。","","","",""
"2283","accurate","形容詞","正確な","His predictions were surprisingly accurate.","彼の予測は驚くほど正確でした。","","","",""
"2284","dealer","名詞","ディーラー","The car dealer offered a good trade-in price.","n price. – 車のディーラーは良い下取り価格を提供しました。","","","",""
"2285","button","名詞","ボタン","The shirt’s top button was missing.","シャツの一番上のボタンがなかった。","","","",""
"2286","burden","名詞","重荷","He didn’t want to be a burden to anyone.","彼は誰にも迷惑をかけたくありませんでした。","","","",""
"2287","desert","名詞/動詞","砂漠","They explored the vast desert on camels.","彼らはラクダで広大な砂漠を探検しました。","","","",""
"2288","mate","名詞/動詞","メイト","Penguins often mate for life.","ペンギンは一生涯で繁殖することがよくあります。","","","",""
"2289","occasionally","副詞","たまに","I occasionally indulge in some chocolate.","たまにチョコレートを贅沢に楽しんでいます。","","","",""
"2290","shareholder","名詞","株主","The shareholder meeting is scheduled next month.","株主総会は来月予定されています。","","","",""
"2291","bowl","名詞","丼鉢","I had a bowl of soup for lunch.","私はランチにスープのボウルを食べました。","","","",""
"2292","discovery","名詞","発見","The discovery of penicillin changed medicine.","ペニシリンの発見は医学を変えました。","","","",""
"2293","resistance","名詞","抵抗","The medicine met with some resistance from patients.","薬は患者からある程度の抵抗を受けました。","","","",""
"2294","bath","名詞","バス","A warm bath relaxes me after a long day.","長い一日の後、温かいお風呂でリラックスします。","","","",""
"2295","frequency","名詞","頻度","The frequency of the radio waves determines the signal.","ラジオ波の周波数が信号を決定します。","","","",""
"2296","criticize","動詞","批判する","It’s easy to criticize but harder to offer solutions.","批判するのは簡単ですが、解決策を提供するのは難しいです。","","","",""
"2297","tap","名詞/動詞","タップします","Can you tap your foot to the beat?","ビートに合わせて足をタップできますか？","","","",""
"2298","philosophy","名詞","哲学","His philosophy in life is to be kind to everyone.","彼の人生哲学は、誰にでも親切であることです。","","","",""
"2299","lip","名詞","リップ","She applied a bright red shade to her lips.","彼女は唇に鮮やかな赤色を塗りました。","","","",""
"2300","attribute","名詞/動詞","属性","Many attribute his success to hard work and dedication.","多くの人が彼の成功を努力と献身の結果と考えています。","","","",""
"2301","apologize","動詞","謝る","I apologize for the oversight in the report.","レポートの監督不足をお詫びいたします。","","","",""
"2302","approval","名詞","承認","The plan went ahead with the manager’s approval.","マネージャーの承認を得て、計画は進められました。","","","",""
"2303","grab","動詞","掴む","Don’t forget to grab an umbrella; it looks like rain.","傘を忘れずに持ってください。雨のようです。","","","",""
"2304","entitle","動詞","資格","The book is entitled “Journey to the Mountains.”","その書籍のタイトルは「山への旅」です。","","","",""
"2305","lend","動詞","貸す","Could you lend me a pen, please?","ペンを貸していただけますか？","","","",""
"2306","involvement","名詞","関与","His involvement in the project was crucial.","彼のプロジェクトへの関与は重要でした。","","","",""
"2307","exposure","名詞","暴露","Overexposure to the sun can be harmful.","日光に過度にさらされることは有害です。","","","",""
"2308","conventional","形容詞","従来の","They opted for a conventional wedding ceremony.","彼らは伝統的な結婚式を選びました。","","","",""
"2309","digital","形容詞/名詞","デジタル","Digital marketing is now a major focus for businesses.","デジタルマーケティングは現在、ビジネスの主要な焦点となっています。","","","",""
"2310","translate","動詞","翻訳する","Can you translate this letter from French to English?","この手紙をフランス語から英語に翻訳してもらえますか？","","","",""
"2311","edit","動詞","編集","I’ll edit the document before sending it.","送信する前にドキュメントを編集します。","","","",""
"2312","formation","名詞","形成","The birds flew in a V formation.","鳥たちはV字編隊で飛びました。","","","",""
"2313","deposit","名詞/動詞","デポジット","I need to deposit this check into my bank account.","この小切手を私の銀行口座に預け入れる必要があります。","","","",""
"2314","pleasant","形容詞","楽しい","We had a pleasant evening at the concert.","コンサートで楽しい夜を過ごしました。","","","",""
"2315","overseas","副詞/形容詞","海外","She moved overseas for her job.","彼女は仕事のために海外に移住しました。","","","",""
"2316","advocate","動詞/名詞","提唱する","He’s an advocate for animal rights.","彼は動物の権利の擁護者です。","","","",""
"2317","establishment","名詞","設立","The establishment of the new museum took two years.","新しい博物館の設立には2年かかりました。","","","",""
"2318","summary","名詞","まとめ","Please provide a summary of the meeting’s highlights.","会議のハイライトの要約を提供してください。","","","",""
"2319","rough","形容詞/名詞","粗い","The path was rough and uneven.","道は荒れており、平坦ではありませんでした。","","","",""
"2320","pen","名詞","ペン","I always carry a pen with me.","私はいつもペンを持ち歩いています。","","","",""
"2321","recovery","名詞","回復","Her recovery after the surgery was swift.","彼女の手術後の回復は迅速でした。","","","",""
"2322","seal","名詞/動詞","シール","The envelope had a wax seal.","封筒にはワックスの封印がありました。","","","",""
"2323","tube","名詞","チューブ","The paint comes in a small tube.","ペンキは小さなチューブに入っています。","","","",""
"2324","tower","名詞","タワー","The Eiffel Tower is a famous landmark.","エッフェル塔は有名なランドマークです。","","","",""
"2325","characterize","動詞","特徴づけられます","Her kindness characterizes her personality.","彼女の優しさが彼女の性格を特徴付けています。","","","",""
"2326","specify","動詞","特定","Please specify your requirements.","要件を具体的に指定してください。","","","",""
"2327","exact","形容詞","ちょうど","I need the exact measurements of the room.","部屋の正確な寸法が必要です。","","","",""
"2328","spin","動詞/名詞","スピン","The children loved to spin around.","子供たちは回るのが大好きです。","","","",""
"2329","operator","名詞","オペレーター","The operator connected my call.","オペレーターが私の通話を接続しました。","","","",""
"2330","infant","名詞","幼児","The infant giggled at the toy.","赤ちゃんはおもちゃにキャッキャと笑いました。","","","",""
"2331","dig","動詞","掘る","The dog loves to dig holes in the garden.","犬は庭に穴を掘るのが大好きです。","","","",""
"2332","drag","動詞","引っ張る","Don’t drag your bag; you’ll damage it.","あなたのバッグを引きずらないでください。それを壊してしまいます。","","","",""
"2333","mount","動詞/名詞","マウント","We decided to mount the painting above the fireplace.","私たちは暖炉の上に絵を掛けることにしました。","","","",""
"2334","wrap","動詞","包む","She took time to wrap the gift beautifully.","彼女はギフトを美しく包むために時間をかけました。","","","",""
"2335","anticipate","動詞","予想する","I didn’t anticipate such a huge response.","こんなに大きな反応を予想していませんでした。","","","",""
"2336","dependent","形容詞","依存","The project’s success is dependent on teamwork.","プロジェクトの成功はチームワークに依存しています。","","","",""
"2337","specialize","動詞","専門化します","Dr. Smith specializes in pediatric care.","スミス博士は小児医療を専門としています。","","","",""
"2338","angle","名詞","角度","Consider the problem from a different angle.","問題を異なる角度から考えてみてください。","","","",""
"2339","chicken","名詞","チキン","We’re having grilled chicken for dinner.","夕食には焼き鳥を食べます。","","","",""
"2340","anxiety","名詞","不安","Test-taking can cause anxiety for many students.","aking can cause anxiety for many students. – テストを受けることは多くの生徒にとって不安を引き起こす可能性があります。","","","",""
"2341","virus","名詞","ウイルス","The computer has a virus and needs fixing.","コンピュータにはウイルスがあり、修理が必要です。","","","",""
"2342","precisely","副詞","正確に","The event starts precisely at 5 PM.","イベントは正確に午後5時に開始します。","","","",""
"2343","rival","名詞","ライバル","The two companies are major rivals in the tech industry.","これら2つの会社は、テクノロジー産業における主要な競合相手です。","","","",""
"2344","offense","名詞","攻撃","Taking someone’s belongings without asking is an offense.","許可なく誰かの持ち物を取ることは違反です。","","","",""
"2345","detect","動詞","検出する","The machine can detect even minor defects.","この機械は、わずかな欠陥であっても検出できます。","","","",""
"2346","teenager","名詞","ティーンエイジャー","The park is a popular hangout for teenagers.","その公園は、10代の人々にとって人気のあるつどいの場所です。","","","",""
"2347","admire","動詞","憧れ","I greatly admire her dedication to charity.","彼女の慈善活動への献身には大いに感心しています。","","","",""
"2348","moderate","形容詞/動詞","適度","He has moderate views on the issue.","彼はその問題について中庸の見解を持っています。","","","",""
"2349","surgery","名詞","手術","She will undergo surgery next week.","彼女は来週手術を受ける予定です。","","","",""
"2350","musician","名詞","音楽家","The talented musician played the piano beautifully.","才能ある音楽家は美しくピアノを弾きました。","","","",""
"2351","significance","名詞","意義","The significance of this discovery cannot be overstated.","この発見の重要性は過大評価できません。","","","",""
"2352","shower","名詞/動詞","シャワー","I’ll be ready after a quick shower.","速やかにシャワーを浴びた後、準備ができます。","","","",""
"2353","illegal","形容詞","違法","Downloading copyrighted music without paying is illegal.","支払いをせずに著作権のある音楽をダウンロードすることは違法です。","","","",""
"2354","charity","名詞","慈善","She volunteers at a charity that helps homeless animals.","彼女は、ホームレスの動物を助ける慈善団体でボランティアをしています。","","","",""
"2355","universal","形容詞","ユニバーサル","The desire for happiness is universal.","幸福への欲求は普遍的です。","","","",""
"2356","cigarette","名詞","シガレット","Smoking a cigarette is harmful to your health.","タバコを吸うことは健康に有害です。","","","",""
"2357","constitute","動詞","構成","Ten members constitute a quorum.","10人のメンバーが定足数を構成します。","","","",""
"2358","adequate","形容詞","十分な","Make sure you have adequate supplies for the trip.","旅行に十分な供給があることを確認してください。","","","",""
"2359","consultant","名詞","コンサルタント","We hired a consultant to improve our business strategy.","ビジネス戦略を改善するためにコンサルタントを雇いました。","","","",""
"2360","historian","名詞","歴史家","The historian researched ancient civilizations.","歴史家は古代文明についての研究を行いました。","","","",""
"2361","cousin","名詞","いとこ","My cousin lives in Australia.","私のいとこはオーストラリアに住んでいます。","","","",""
"2362","visual","形容詞","ビジュアル","The presentation had many visual aids to engage the audience.","プレゼンテーションには、観客を引きつけるための多くの視覚的な教材が含まれていました。","","","",""
"2363","stupid","形容詞","バカ","Making assumptions without facts is a stupid mistake.","事実なしで仮定をすることは愚かな間違いです。","","","",""
"2364","keen","形容詞","鋭い","She has a keen interest in astronomy.","彼女は天文学に非常に興味を持っています。","","","",""
"2365","ethnic","形容詞","エスニック","The festival celebrated ethnic diversity and culture.","その祭りは、民族の多様性と文化を祝っています。","","","",""
"2366","twin","名詞","ツイン","My brother and I are not identical, but we are twins.","私の兄と私は一卵性の双子ではありませんが、双子です。","","","",""
"2367","clinical","形容詞","臨床","The drug is now undergoing clinical trials.","その薬は現在、臨床試験を受けています。","","","",""
"2368","eastern","形容詞","東部","The sun rises in the eastern sky.","太陽は東の空に昇ります。","","","",""
"2369","forecast","名詞/動詞","予報","The weather forecast predicts rain tomorrow.","天気予報によれば、明日は雨が降る予定です。","","","",""
"2370","segment","名詞","セグメント","The show has a segment dedicated to health tips.","その番組には、健康のヒントに特化したセグメントがあります。","","","",""
"2371","custom","名詞","カスタム","It’s a custom to throw rice at weddings.","結婚式でお米を投げるのは習慣です。","","","",""
"2372","adapt","動詞","適応する","She had to adapt to living in a new country.","彼女は新しい国での生活に適応しなければなりませんでした。","","","",""
"2373","sand","名詞","砂","The children built castles in the sand.","子供たちは砂で城を作りました。","","","",""
"2374","cap","名詞","キャップ","He always wears a cap when it’s sunny outside.","彼は外が晴れているときはいつもキャップをかぶっています。","","","",""
"2375","prompt","形容詞/動詞","プロンプト","Your feedback will prompt us to make necessary changes.","あなたのフィードバックが、必要な変更を行うきっかけとなります。","","","",""
"2376","charm","名詞","魅力","Her charm and wit make her very popular.","彼女の魅力と機知に富んだ性格は、彼女を非常に人気にしています。","","","",""
"2377","react","動詞","反応します","How did he react to the news?","彼はそのニュースにどのように反応しましたか？","","","",""
